customer_text,gold_intent,pred_intent,gold_should_escalate,pred_decision,pred_reason,draft_reply,judge_grounded,judge_helpful,judge_tone,judge_overall
@AmazonHelp Done,general_feedback_or_thanks,general_feedback_or_thanks,False,auto_handle,The message is a simple thank you without any sensitive issues.,@お客様 ご利用ありがとうございます！また何かございましたらお気軽にご連絡くださいませ。🙏✨,1,1,3,2
@118117 @115821 what size speaker does it have?,other_or_unclear,other_or_unclear,False,auto_handle,"Simple product information request, no escalation criteria met",@118117 You can find more info about the speaker by heading to this link: https://t.co/T7BwlbTYoP ^GL,2,2,3,2
Vai ter promoÃ§Ã£o do Kindle @117086 ???,other_or_unclear,other_or_unclear,False,escalate,Drafted reply expresses uncertainty,"@117086 Pelo momento não temos essas informações. Qualquer novidade será anunciada no nosso site, então fique de olho. ^AZ",4,3,3,3
@AmazonHelp That link is useless. Bunch of automated check boxes that don't let me explain my issue,cannot_reach_support,cannot_reach_support,False,auto_handle,"The issue is a basic support access problem without money, legal, or security concerns.",@user Sorry for the hassle. We can’t view your account here. Please call us directly at 0800 279 7234 so we can sort it out. ^JF,3,3,2,3
@AmazonHelp Es un Amazon Choice de KATIVA vendido por AIRSH HAIR. AdemÃ¡s en el paquete venÃ­a un bolso que era un regalo sin envoltorio ni un plÃ¡stico y podrÃ­a haberse manchado facilmente,other_or_unclear,other_or_unclear,False,auto_handle,Simple packaging complaint without refund request; reply is appropriate,@[username] Lo sentimos. ¿Has contactado al vendedor externo para revisar las opciones disponibles respecto a tu caso? ^DA,4,3,3,3
@117795 talk about an EPIC FAIL!!! Whatâ€™s the #point to announce the #date a show is #premiering and you canâ€™t even get it loaded!! #vials #waitingforthisshowforsixmonths #massivefail #rxlife #25dollargiftcard,other_or_unclear,other_or_unclear,False,escalate,Strong negative sentiment and possible monetary issue,@117795 Oh no! We’re sorry for the hassle. Which show are you trying to load? Let’s get it sorted for you. ^SH,4,3,4,4
@AmazonHelp Amazon logistics is the carrier. Do you want the tracking number so you can see whats wrong with the tracking information?,delivery_delay,delivery_delay,False,auto_handle,Simple delivery status query without escalation criteria,"@123456 Hello, we don’t have access to your account/order details via Twitter. Please reach out to us here so we can investigate: https://t.co/JzP7hlA23B ^CR",4,2,3,3
"@AmazonHelp Again got message, the order has been cancelled! ðŸ™ https://t.co/WrlAAym0ZG",order_not_delivered,order_not_delivered,True,escalate,"No drafted reply provided, indicating uncertainty",,1,1,1,1
@115821 @AmazonHelp was supposed to deliver an iPhone to my kid 2day.Tracking shows we received it! We haven't.Customer care refuses to help,order_not_delivered,order_not_delivered,True,escalate,Strong negative sentiment/anger regarding undelivered iPhone,@115821 Sorry to hear your iPhone hasn't arrived despite the tracking. Could you DM us your order # or share details here: https://t.co/beaaDm0muc so we can investigate and get this sorted? ^PR,4,4,4,4
@AmazonHelp It was a prime delivery option so should have had it Monday! Still says itâ€™s out for delivery! Youâ€™ve also lost another parcel as well ðŸ‘ðŸ¼,order_not_delivered,order_not_delivered,True,escalate,"Customer is angry about a missing Prime delivery and lost parcel, requiring human assistance",@123456 Sorry for the hassle. Please reach out here so we can sort it out: https://t.co/abcd1234 ^KM,2,2,2,2
@AmazonHelp pls dm,cannot_reach_support,cannot_reach_support,False,auto_handle,"Simple request without money, legal, security, or negative sentiment.",@User Happy to help! Please DM us with details (avoid sharing personal info) or continue here. ^AF https://t.co/1XyLaGkcaN,4,5,4,4
"@AmazonHelp ok, pero cuando es entregado al vendedor cuanto tardan en darte el dinero",refund_or_return_request,refund_or_return_request,False,escalate,Refund timing involves money,@123456 El tiempo dependerá del método de reembolso que seleccionaste. Consulta los plazos aquí: https://t.co/XzPTsjt8F8 ^LG,2,2,2,2
"@115821, does it feel good to lie to customers after an hour 90 min call? Why offer a warranty on @60674 if you wonâ€™t honor it?",refund_or_return_request,other_or_unclear,True,escalate,"Customer expresses anger about warranty not being honored, involving potential refund.",@460464 We're sorry for the inconvenience. Please DM us your order number and warranty details so we can investigate and make it right. ^HM,4,3,4,4
@115830 where's my order? Very poor customer experience on your Black Friday deals. Surely you should be prepared for this demand?!,order_not_delivered,order_not_delivered,True,escalate,Strong negative sentiment/anger in the customer's message,@115830 I’m sorry you haven’t received your order yet. Could you share the delivery date from your confirmation or the order #? Were the items shipped by us or a third‑party seller? You can view tracking here: https://t.co/xxxx ^AB,4,3,4,4
@AmazonHelp Details dropped. I however don't expect this to be solved considering how this has been handled so far by the team.,cannot_reach_support,cannot_reach_support,True,escalate,Customer shows strong frustration and negative sentiment,@123456 We understand your frustration and apologize for the delay. Our team is reviewing your case and will reach out shortly. Please DM us any additional info in the meantime. Thanks for your patience. ^HR,2,2,3,2
@AmazonHelp I've seen a lot of people getting shipping confirmations on their Xbox One X orders but mine hasn't changed. Makes me nervous...,delivery_delay,delivery_delay,False,auto_handle,Simple delivery status question without escalation triggers,@123456 Sorry for the worry! You can check your order status and estimated delivery here: https://t.co/YourLink Let us know if anything looks off. ^LS,2,3,3,3
@AmazonHelp Please provide me link..m unable to find,cannot_reach_support,cannot_reach_support,False,auto_handle,Simple request for a link with no sensitive or escalated issues,@123456 Sorry for the trouble—please see this link for what you need: https://t.co/xxxxxx. ^AP,2,2,3,2
"@171133 @115850 @171133 as per your word, I try for send a mail your given mail ID. But this is not the right mail ID. Because when I try to send in  this mail ID, a default error message get me, this is not the right mail ID. Kindly give me a correct one or grievance officer mail ID",cannot_reach_support,cannot_reach_support,True,auto_handle,"Simple request for correct email contact, no security or legal concerns.","@171133 Kindly fill in your details using the secure link we shared earlier, and we’ll provide the correct email or grievance officer contact. Appreciate your patience. ^BS",3,3,3,3
@AmazonHelp Yes over the last couple of days,other_or_unclear,other_or_unclear,False,auto_handle,"Generic status update with no refund, legal, security, or strong negative sentiment.",@123456 Sorry for the recent delays over the past few days. It’s a busy time and we’re working hard to get everything to you faster. See the latest updates here: https://t.co/EMmE1pgEco ^TI,2,2,2,2
@123813 @61865 Y los que ya estamos suscritos ??? como podemos participar ??,other_or_unclear,other_or_unclear,False,auto_handle,Simple participation question without escalation criteria,"Hola, para participar solo debes estar atento a los anuncios en nuestras redes sociales. ¡Te esperamos! ^MB",2,2,4,2
"Amazonã‹ã‚‰è·ç‰©å±Šã„ãŸãŒâ€¦
ã“ã‚Šã‚ƒã²ã©ã„ https://t.co/b9TRKH8Xo6",other_or_unclear,order_not_delivered,False,auto_handle,Simple order status request without refund amounts or strong negative sentiment,@お客様 ご迷惑をおかけしております。ご注文番号をご教示いただけますか？こちらで状況を確認し、再発送または返金等対応いたします。詳細は https://www.amazon.co.jp/gp/help/contact-us をご参照ください。,4,4,5,4
